question,answer,source,focus_area
What is Acne Vulgaris?,"Acne vulgaris, often simply called acne, is a common skin condition that affects the oil-producing glands in the skin and often continues for a long time. It usually causes small raised spots, or bumps filled with pus, mainly on the face, but it can also occur on the upper arms, trunk, and back. The development of acne involves various factors that come together to form what’s called a “comedo”, or more commonly known as a pimple.
While acne is often associated with teenagers, it’s not exclusive to this age group and can affect people at different ages. The severity of acne can range widely. In mild cases, a person might only have a few pimples. But in severe cases, acne can cause large, painful, and inflamed areas on the skin which can lead to dark spots, scarring, and can even affect a person’s mental wellbeing.",National Library of Medicine - NIH (National Institutes of Health),Acne Vulgaris atau Jerawat
What Causes Acne Vulgaris?,"Acne usually happens when the oil-producing glands in the skin react excessively to normal hormone levels. This reaction can be made worse by the presence of a bacteria called Cutibacterium acnes, leading to inflammation.
Several things might contribute to the development of acne, such as:
* Taking certain medications like lithium, steroids, or anticonvulsants
* Spending too much time in the sun
* Using tight clothing accessories like shoulder pads, headbands, backpacks, or underwire bras
* Using oil-based beauty products or massaging the face.
* Suffering from hormones-related health issues like polycystic ovarian syndrome and pregnancy. In fact, acne tends to flare up before menstruation in 70% of female patients due to swelling in the skin pores.
* Certain genes can also play a big role in acne, influencing the amount of a particular kind of fatty acid present in skin oils.
* Regularly scrubbing skin with soaps and detergents can aggravate acne.
Research suggests a link between acne and diet, especially dairy intake and high sugar foods, potentially due to the growth-promoting and hormone-boosting substances found in milk. Meanwhile, it’s important to note that contrary to popular belief, there is no significant proof that eating chocolate worsens acne. Moreover, experiencing a lot of stress can make acne worse, likely due to the increase in stress hormones.
People who have insulin resistance, which is a condition that affects the body’s ability to use insulin, may also have acne. This is because those individuals tend to have more of a certain growth factor that is associated with increased skin oil production. However, the connection between body weight and acne is not well-established; studies on this have had conflicting results.",National Library of Medicine - NIH (National Institutes of Health),Acne Vulgaris atau Jerawat
What are the risk Factors and Frequency for Acne Vulgaris?,"Acne vulgaris, often just known as acne, is mostly seen in teenagers and young adults. Between 35% and 90% of teenagersmight potentially develop acne. The condition can start to appear when kids are about 7 to 12 years old, and it usually goes away by the time they hit their 30s. However, sometimes acne can continue into adulthood or can even start for the first time when a person is an adult.
- Teenage acne is more common in boys than girls. However, adult acne mostly occurs in women.
- People living in cities tend to have acne more often than those who live in the countryside.
- About 20% of people with acne will have severe symptoms which can cause scars.
- Certain races and ethnicities might have different experiences with acne. For instance, Asians and Africans are more likely to have severe acne, while mild acne is more commonly seen in White people. In general, people with darker skin tend to get dark spots from acne.
- Babies can sometimes get acne too, but this usually goes away on its own without needing any treatment. Infant acne, which is another type of acne, can happen in babies. It is rare for children 1 to 6 years of age to have acne. But if they do, it may be a sign of another health problem and will need further checkup.",National Library of Medicine - NIH (National Institutes of Health),Acne Vulgaris atau Jerawat
What are the signs and Symptoms of Acne Vulgaris?,"Acne typically appears in areas of the body with a high number of oil glands, such as the face, neck, chest, upper back, and arms. Acne conditions and severity come in various types and degrees:
- Grade 1: Commonly known as “comedones”, it can be open or closed. Open ones appear as little bumps with gray, brown, or black spots in the center. Closed ones appear as small, dome-shaped bumps that can be skin-colored, white, or gray.
- Grade 2: These are small, red, and inflamed bumps.
- Grade 3: These are bumps filled with pus, known as pustules.
- Grade 4: A severe form of acne where multiple pustules combine to form large lumps and cysts, known as nodulocystic acne.
Acne severity is determined by several factors, including its psychological impact on the patient, type of acne, presence of scars, whether lesions are actively oozing or not, and the patient’s response to treatment. Severe acne is described in cases of big, inflamed bumps (nodules) and pus-filled lesions, especially when they’re accompanied by scarring, even if nodules are not present.
The extent of skin affected by acne could range from a few small comedones to many inflamed nodules. Acne can cause various types of scars, such as depressed, hypertrophic, or keloidal scars. Everyone’s experience with acne is different, which is why some people may develop scars while others don’t. Aside from scars, post-inflammatory hyperpigmentation, commonly seen in individuals with darker skin, can also occur as a result of acne.
Among the different types of acne, some may include:
- Acne conglobata: A severe form of acne commonly seen in young males, where large inflamed comedones, cysts, and abscesses form.
- Acne fulminans or acne maligna: A rare skin disorder, marked by acute, painful, ulcerating, and bleeding acne. It might be associated with other symptoms like fever and polyarthritis, along with changes in blood tests and bone lesions.
- Acne excoriée: A condition often seen in young women with a mental health disorder. It leads to obsessive picking and scarring of mild acne.
- Infantile acne: This variant appears between ages 3 to 6 months mainly due to elevated hormones in girls from the immature adrenal gland and in boys from the immature adrenal gland and testes.
There are also rare syndromes associated with acne, such as SAPHO syndrome characterized by arthritis or bone inflammation, and PAPA syndrome which presents with a condition known as ‘sterile pyogenic arthritis’ along with another skin disease known as ‘pyoderma gangrenosum’.
To provide an adequate diagnosis, the patient’s history should be carefully reviewed. This includes noting when the acne first appeared, the patient’s general medical history, previous treatments, lifestyle habits, signs of any hormonal imbalance, and the emotional impact of their acne. A skin examination to identify the type and distribution of lesions will also be necessary.",National Library of Medicine - NIH (National Institutes of Health),Acne Vulgaris atau Jerawat
How is Acne Vulgaris tested?,"Acne vulgaris, a common type of acne, is normally diagnosed with a physical check-up, rather than through lab or x-ray tests. However, further testing might be necessary if the clinical check-up suggests that the patient could have more complex conditions, such as hyperandrogenism, which means they may have too many male hormones. For these diagnostic tests, a skin biopsy is not usually needed.
It’s especially crucial for women who could get pregnant to share their medical history with their doctors, particularly any past experiences with excessive body hair (hirsutism) or painful periods (dysmenorrhea). If they have had these symptoms, additional tests should be done to analyze their levels of specific hormones, such as testosterone, luteinizing hormone, follicle-stimulating hormone, and dehydroepiandrosterone.
If severe acne appears suddenly and doesn’t respond to typical treatments, this could indicate an issue linked to hyperandrogenism due to an ovarian or adrenal tumor. This situation would likely require laboratory and imaging tests as well.
In cases of acne fulminans, a severe form of acne, a thorough check-up is important. This will include a complete blood count, liver function tests, and a measure of inflammation in the body through an erythrocyte sedimentation rate and C-reactive protein test. Depending on the symptoms presented, other tests such as a pregnancy test for women, cholesterol and triglyceride tests, or x-rays may be recommended. These tests help doctors understand whether the acne has affected other parts of the body and helps them prepare a treatment plan using isotretinoin, a medicine often used for severe acne.",National Library of Medicine - NIH (National Institutes of Health),Acne Vulgaris atau Jerawat
What are the treatment Options for Acne Vulgaris?,"Treating acne vulgaris, whether mild or severe, starts with a thorough patient consultation. This should cover understanding the condition itself, the right skincare habits, and realistic outcomes of various treatments. Some important points to address during this discussion include:
- Treatment results may take time, with actual improvements becoming noticeable after about 2-3 months of consistent treatment. The aim of the treatment isn’t necessarily to completely clear up acne, but to reduce the number of active breakouts and prevent new ones.
- Long-term maintenance therapy is often necessary as most acne treatments tend to control the condition rather than completely cure it.
- Patient should use mild skin cleansers as opposed to harsh soaps or scrubs, which can irritate and dry out the skin, potentially leading to more acne. Patients should also avoid scrubbing or picking at their skin, as these actions can lead to more breakouts and potential scarring.
While there’s some research suggesting that milk consumption and high-glycemic diets may cause acne, there are currently no specific dietary recommendations for acne patients. Treatment plans should be tailored according to the severity of the acne.
In terms of actual treatment, different strategies are recommended for mild and moderate-to-severe acne.
For mild acne, the primary treatment option is typically topical therapy. This approach involves the use of skincare products that contain retinoids (vitamin A derivatives), topical antibiotics, and benzoyl peroxide. Retinoids help to normalize the skin’s shedding and exfoliation process, which prevents the build-up of skin cells and oil that can lead to clogged pores. Topical antibiotics and benzoyl peroxide both help to kill the bacteria that contributes to acne.
For moderate-to-severe acne, both topical and systemic treatments are typically necessary. Systemic therapies include oral antibiotics, hormonal therapies, and oral isotretinoin. It’s important to note that oral antibiotics and hormonal therapies are typically not first-line treatments and are often used in more severe cases or when other treatments have been unsuccessful.
If a patient’s acne results in complications like residual scars or noticeable discolouration, there are specific treatments available for these concerns. These may include procedures such as chemical peels, laser therapy, skin reconstruction, or filler injections, depending on the type of scar or discolouration.
Overall, managing acne involves understanding the condition, implementing consistent skincare habits, and tailoring treatments to the individual’s specific needs and the severity of their condition.",National Library of Medicine - NIH (National Institutes of Health),Acne Vulgaris atau Jerawat
What else can Acne Vulgaris be?,"When people think about acne, they’re usually thinking of a specific condition called acne vulgaris. However, there are many other conditions that look similar but are actually different from acne.
- Rosacea is one of these – it doesn’t cause blackheads but can cause skin redness.
- Perioral dermatitis creates red bumps around the mouth but not directly on the lip’s edge, which differs from acne vulgaris.
- Demodex folliculitis causes inflammatory red bumps and pus-filled pimples and comes into consideration when acne or rosacea treatments don’t work.
- Facial angiofibroma in tuberous sclerosis usually occurs in children as pink or red bumps on the cheeks and nose.
- Pseudofolliculitis barbae brings about red bumps, pus-filled pimples, and scarring in the beard area, especially in people with tightly curled hair.
- Nevus comedonicus, common in babies or children, is a condition featuring a cluster of blackheads.
Sebaceous hyperplasia is marked by small, yellowish bumps often seen on the forehead and cheeks. Flesh-colored bumps are typical indication of skin growths from hair follicles (like trichoepithelioma, trichodiscoma, and fibrofolliculoma). Favre-Racouchot syndrome usually occurs in elderly people, caused by sun damage, and results in blackheads on the upper cheeks.",National Library of Medicine - NIH (National Institutes of Health),Acne Vulgaris atau Jerawat
What to expect with Acne Vulgaris?,"With the right treatment, acne generally has a good outcome. Although acne itself isn’t life-threatening, it can have lasting emotional impacts. People dealing with acne and acne scars may suffer from higher levels of anxiety and depression. It can be tough to effectively treat acne scars. Interestingly, a Swedish study hints at a possible link between acne in teenage boys and a higher chance of getting prostate cancer in their later years.",National Library of Medicine - NIH (National Institutes of Health),Acne Vulgaris atau Jerawat
What are the possible Complications When Diagnosed with Acne Vulgaris?,"Acne vulgaris, commonly known as acne, can cause a number of complications:
- Psychological effects: These can include depression, anxiety, and lower self-esteem. These may occur as a result of the visible appearance of the skin during an acne breakout or from the scars left behind after the acne has healed.
- Acne fulminans: This is an acute eruption of large inflammatory nodules along with ulcers and crusted bleeding. This mainly occurs in teenage boys who already have acne. It can either be triggered by a medication called isotretinoin or can occur spontaneously. People with this condition may also have symptoms like fever, a general feeling of discomfort, pains in the bones, skin redness, joint pain, and changes in blood tests and X-rays. Lab tests may show increased white cell count, anemia, and increased markers of inflammation, and X-rays can show areas of bone loss, typically in the breastbone, collarbones, hip and sacroiliac joints.
- Solid facial edema, or Morbihan’s disease: This disease presents as redness and swelling of the face. This condition has periods of symptom flare-ups and periods of no symptoms, but often needs treatment to get better. There are several treatment options, including isotretinoin, steroids, and a medication called clofazimine.
- Gram-negative folliculitis: This is seen in patients who have been taking systemic antibiotics, particularly tetracyclines, for a long time for acne. These people initially respond to the antibiotic therapy, but over time, their acne worsens and becomes resistant to oral antibiotics. The nose and middle of the face are most commonly affected, showing inflammatory pustules and nodules. Cultures from the lesions usually show the presence of certain types of bacteria like Enterobacter, Klebsiella, Pseudomonas, Proteus, or Escherichia species.",National Library of Medicine - NIH (National Institutes of Health),Acne Vulgaris atau Jerawat
What is Atopic Dermatitis?,"Atopic dermatitis, a specific type of eczema, is the most common long-term inflammatory skin disease. This persistent disorder often begins in infancy, showing symptoms like dry skin, eczema-like sores, and thickened, patchy skin. It’s thought to be connected to other allergy-related conditions like hay fever, asthma, and food allergies, all of which involve an immune response known as IgE. Atopic dermatitis can greatly affect a person’s quality of life and it seems that the number of people with this disorder has been growing over the last few decades.",National Library of Medicine - NIH (National Institutes of Health),Atopic Dermatitis atau Dermatitis Atopic
What Causes Atopic Dermatitis?,"Atopic dermatitis, or eczema, is a skin condition with complex causes, including genetics and environmental factors. These cause irregularities in the skin’s surface layer and the body’s immune system. It’s part of the ‘atopic triad’ which also includes allergic rhinoconjunctivitis (an allergic reaction causing inflammation of the nose and eyes) and asthma. These can either occur at the same time or one after the other, in what’s known as the ‘atopic march’.
People with the atopic triad have defective barriers in their skin and respiratory systems which cause their symptoms. If one parent has an atopic condition, their child has more than a 50% chance of also being affected. This risk goes up to 80% if both parents have these conditions. Genetic changes in these cases often involve the malfunction of a skin protein called filaggrin, which helps keep the skin moisturized. Up to 30% of people with atopic dermatitis have these filaggrin mutations, which can also make them vulnerable to skin conditions like ichthyosis vulgaris (dry, scaly skin), allergic rhinitis (hay fever) and keratosis pilaris (rough, bumpy skin).
Additionally, food sensitivities can trigger or worsen atopic dermatitis in about 10% to 30% of people. Most of these flare-ups, about 90%, are caused by certain foods such as eggs, milk, peanuts, soy, and wheat. Recent research also hints at a link between smoking and developing atopic dermatitis in adulthood.",National Library of Medicine - NIH (National Institutes of Health),Atopic Dermatitis atau Dermatitis Atopic
What are the risk Factors and Frequency for Atopic Dermatitis?,"Atopic dermatitis, a skin condition, is found in about 10% to 30% of children and 2% to 10% of adults in developed countries. The number of people affected by this has risen two to three times over recent years. It’s more common in places where there’s less sunshine and low humidity. Depending on when someone starts showing symptoms, atopic dermatitis can be sorted into three groups:
- Early-onset atopic dermatitis (from birth to 2 years old): This is the most common type and about 60% of these cases start before a child turns 1. By the time they’re 12, 60% of them no longer show symptoms.
- Late-onset atopic dermatitis: This group starts showing symptoms after hitting puberty.
- Senile onset atopic dermatitis: This is rare and only starts in people older than 60 years old.",National Library of Medicine - NIH (National Institutes of Health),Atopic Dermatitis atau Dermatitis Atopic
What are the signs and Symptoms of Atopic Dermatitis?,"When examining a patient for possible skin conditions, doctors should consider several factors found in the patient’s history:
- The time and pattern of skin lesion development
- The severity of itching, such as if it’s keeping the patient awake at night
- Any personal or family history of related conditions such as eczema, hay fever, or asthma
- Exposure to certain substances that can cause skin allergies
- Possible triggers, which could include dust mites, pet dander, hot showers, sweating, soaps, fragrances, food allergies, and synthetic fabrics like polyester
The signs a doctor looks for during a physical examination can depend on the patient’s age group. For babies, they may find swollen bumps and patches that may have small fluid-filled blisters or crusts on the scalp, face, and outer arms and legs. Babies typically don’t have these skin lesions in the diaper area, but they might have diaper rash due to other factors like a yeast infection or another skin condition.
Children with this skin condition often have less oozy patches and plaques on the inner elbows and knees. Adults, on the other hand, typically have long-term skin changes with enhanced skin markings that preferentially affect the hands. Individual lesions may also be classified into stages: acute (marked by swollen, red patches and plaques and/or blisters or crusts), subacute (redness, flaking, varying levels of crusts), or chronic (thick plaques with skin thickening and flaking).",National Library of Medicine - NIH (National Institutes of Health),Atopic Dermatitis atau Dermatitis Atopic
How is Atopic Dermatitis tested?,"Atopic dermatitis, also known as eczema, is typically diagnosed based on the appearance and location of skin rashes, which can vary by age group. Additional symptoms, like ‘keratosis pilaris’ or ‘chicken skin’, can also help in the diagnosis. A skin biopsy test can help confirm the diagnosis by showing a pattern typical of eczema.
In children, if the condition doesn’t improve after usual treatment, doctors may recommend specific tests. These can include fluorescent enzyme immunoassays or skin prick tests to detect specific antibodies called Immunoglobulin E (IgE). These antibodies commonly react to specific allergens, potentially worsening the skin condition. However, it’s important to note that the presence of these IgE antibodies may not always directly contribute to the skin’s condition.",National Library of Medicine - NIH (National Institutes of Health),Atopic Dermatitis atau Dermatitis Atopic
What are the treatment Options for Atopic Dermatitis?,"The four main aspects of treatment include staying away from triggers, daily skin care, use of anti-inflammatory medications, and other additional treatments.
Everyday skin care involves applying moisturizing creams twice daily, preferably within three minutes of a warm (not hot) bath or shower to prevent skin from drying out. Ointments are most effective at forming a barrier on the skin, but they may feel a bit greasy. Topical steroids, which should be applied before moisturizers to maximize their effect, are the go-to treatment for acute flare-ups. They should be strong enough to rapidly control a flare-up, with the possibility of reducing the frequency to every other day and twice a week for maintenance, typically over weekends, on the usual affected areas. Keep in mind that long-term use of steroids can cause thinning of the skin and tiny red spots or veins.
For delicate areas, including the underarms, groin, and face, you may need to use non-steroidal creams such as tacrolimus and pimecrolimus. There are recent treatments as well, like crisaborole, that works by blocking PDE-4. If the condition is severe and not responding to creams or ointments, other treatments could include light therapy (UVA, UVB, and narrow-band UVB), cyclosporine, azathioprine, mycophenolate mofetil, and methotrexate.
A new FDA-approved biological treatment, dupilumab, can also be considered. It’s a type of protein that blocks another protein (IL-4 receptor) that is involved in inflammatory processes in the body. Other additional treatments include bleach baths (adding 0.5 cup of bleach in a full 40-gallon tub) once or twice a week to reduce the amount of Staphylococcus aureus bacteria on the skin, sticking to a low-allergen diet during breastfeeding, and using probiotics and prebiotics during
pregnancy or in high-risk infants. This has led to a 50% decrease in the frequency of this skin condition in children aged 1 to 4 years compared to a placebo.
Another recently approved treatment for mild to moderate cases of the condition is Crisaborole topically applied ointment – this medicine improves skin symptoms by blocking a process in the body that leads to inflammation.
Lastly, some patients might find probiotics helpful as they can enhance the immune system and potentially prevent the development of an allergic response. Probiotics are particularly recommended for pregnant and breastfeeding women.
Many studies have shown that using a certain amount of bleach in baths can help to relieve symptoms by decreasing the risk of bacterial infection on the skin.",National Library of Medicine - NIH (National Institutes of Health),Atopic Dermatitis atau Dermatitis Atopic
What else can Atopic Dermatitis be?,"When someone exhibits symptoms like skin irritation or a rash, a doctor would have to consider several possible conditions or diseases to make an accurate diagnosis. These could include:
- Allergic contact dermatitis (a skin reaction to an allergen)
- Lichen simplex (a skin disorder resulting from continuous scratching)
- Lichen planus (a condition that can cause swelling and irritation on the skin, hair, nails or mucous membranes)
- Psoriasis (a condition that speeds up skin cell growth, leading to patches of red, scaly skin)
- Scabies (an itchy skin condition caused by a tiny burrowing mite)
- Tinea (a fungal infection of the skin, hair or nails)
- Seborrheic dermatitis (a common skin condition that mainly affects your scalp, causing scaly patches, red skin and itchy dandruff).
The doctor would then conduct necessary tests, examine the skin’s condition, and take into account the patient’s medical history, to correctly identify the cause of the skin condition.",National Library of Medicine - NIH (National Institutes of Health),Atopic Dermatitis atau Dermatitis Atopic
What to expect with Atopic Dermatitis?,"Many people with Atopic Dermatitis (AD) see improvements over time. However, it’s important to note that those who also suffer from allergic rhinitis and asthma may not see the same improvements. AD, especially when it begins in childhood, often lasts for decades.
This condition can go through cycles of relapse and remission, with relapses typically requiring medication. Individuals who are consistently exposed to things like smoke, pet fur, pollen, soap, detergent, and wool can experience constant symptoms, leading to a reduced quality of life.
Persistent or repeated itchiness from AD can be not only irritating but also expensive to manage. A known complication of AD is Kaposi varicelliform eruption, related to a primary herpes infection. This means that blister-like sores can appear in the areas affected by AD and can spread to healthy skin. Treatment with a medication called acyclovir can help reduce these complications.
Furthermore, people with AD are more susceptible to skin infections caused by bacteria like Staphylococcus and Streptococcus.",National Library of Medicine - NIH (National Institutes of Health),Atopic Dermatitis atau Dermatitis Atopic
What are the possible Complications When Diagnosed with Atopic Dermatitis?,"Here are some medical conditions you might come across:
- Kaposi varicelliform eruption
- Bacterial infection
- Uriticaria",National Library of Medicine - NIH (National Institutes of Health),Atopic Dermatitis atau Dermatitis Atopic
How can Atopic Dermatitis be prevented?,"Patients should choose to wear clothes made of cotton and avoid those made from wool to avoid discomfort or irritation. Also, keeping the house a bit cooler can help minimize sweating and itching. Using a humidifier can be helpful to keep skin from getting too dry. Patients should also look out for and avoid any foods that seem to cause their AD symptoms to flare up.",National Library of Medicine - NIH (National Institutes of Health),Atopic Dermatitis atau Dermatitis Atopic
